,(R)-3-Hydroxybutyric acid,acetate,acetoacetate,L-alanine,L-valine,hypoxanthine,citrate,creatinine,L-glutamine,glycine,histidine,L-allo-Isoleucine,isopropanol,L-Lactic acid,L-leucine,lipoproteins,methanol,Dimethyl sulfone,D-phenylalanine,Pyruvic acid,L-tyrosine
2_0347_S,21.83879567,61.81956494,50.78956725,1130.092941,172.697729,2.961273234,18.23358945,90.20155523,1028.178832,261.644862,64.16028585,41.25654157,31.03045177,1464.692542,351.3997628,25100.41358,89.72328456,110.0710365,136.2255345,127.8018932,76.50873575
2_0356_S,3.29709667,38.38010573,34.09465,954.1573513,245.6155141,3.496724702,109.3875296,115.2485454,1142.504868,400.5550366,52.02848354,33.15638128,14.32953265,1687.735872,184.2966034,24365.27206,118.2649397,55.01083971,139.0560411,59.8893635,85.52539136
2_0369_S,0.0,32.64488341,28.69527419,1099.387477,387.0979219,4.15733028,67.9737957,111.881972,1113.946381,314.0655086,58.06004992,65.2170262,25.24741307,1414.338009,485.0917102,37832.78244,142.9823487,32.44693788,152.5531042,83.36214123,108.4284015
2_0370_S,130.6068543,41.49083887,295.4798574,726.2424048,270.1533576,2.046788186,1.393765842,84.31708414,722.5492991,200.4865745,60.92897547,39.76343074,31.07409896,1018.656371,324.3670937,20366.87904,151.4280964,42.61154702,109.3750371,94.85537894,90.04719981
2_0376_S,34.74405489,35.3224937,108.1205638,812.5751808,220.8243059,3.692691061,144.4528738,116.0085852,1018.75499,235.6488481,73.31825205,33.35275107,14.89925728,1088.590326,244.3874807,25581.94269,122.7512358,111.0085645,97.01179942,78.6135998,59.25484629
2_0379-S,34.89692743,83.93187452,87.83968975,994.2977382,261.1351033,3.681867417,105.2790822,122.3114348,1240.593124,387.5955373,75.78773309,43.58537078,63.79316106,1658.696147,357.9021321,22219.90945,158.6517608,132.5913945,128.5687565,50.96927104,136.4538922
2_0384_S,13.78506989,107.05675,47.22545771,1385.66513,369.9284806,5.697289568,32.07919109,113.0899135,954.9565204,277.8446334,74.98879132,67.54366055,32.36090856,2511.791672,584.9148354,31585.41525,193.6279568,33.46015404,198.9036886,164.0937519,130.4218748
2_0397_S,0.0,29.47166747,12.7175769,1522.319621,417.6787009,36.81130901,164.8154406,100.2146529,971.8370328,491.7551483,70.07765347,68.46334258,25.96533092,4317.88855,494.1493906,31599.38213,189.3331541,53.48108616,244.9977146,115.7385598,196.5002039
2_0399_S,0.0,55.75497991,50.09801435,1374.397364,322.9258905,6.108927818,110.3407773,121.8729139,1078.690997,429.3692952,53.47559517,62.39750182,37.86907446,2696.21192,442.1495823,21266.83463,210.8417693,57.56143927,137.4150594,136.1731471,110.6312579
2-0406-S,8.529661879,56.99714341,86.8723117,1086.840183,358.1859971,3.038387738,122.4285694,106.2219304,1021.824698,403.7815525,64.47583002,47.49075539,24.472824,958.7533105,247.4416855,27770.74401,147.5406121,30.08271698,122.3211337,100.5611203,103.7514686
2_0409_S,2.536571073,36.58822978,22.04446678,1421.053303,257.3189533,4.612911754,115.749515,99.65720084,1314.186845,511.7914451,74.58205195,39.98402455,26.42968774,1277.04668,256.4656642,24182.22278,142.4579158,54.46719739,139.98114,107.0071114,140.8993102
2_0412_S,22.60416976,36.86877717,60.74995524,959.3073225,211.2571719,3.829277921,72.15518908,134.7828069,1016.536071,281.147052,51.04832572,34.50697542,69.50453635,1623.564694,205.0288302,17666.79519,121.6486565,311.664385,178.232607,78.99380641,70.96756669
2_0427_S,12.32061663,47.32178247,76.52485196,947.4225247,256.4053503,3.68839356,145.5030553,98.66248063,947.6486587,265.0241859,64.17531775,35.75773825,40.43517436,1696.052661,278.3206615,31794.29971,115.40025,43.94748651,123.5079046,130.5686693,86.8195442
2_0432_S,31.33895347,27.85513935,60.98488166,1253.636528,250.2730428,8.113763918,0.0,111.1114951,962.8862011,267.6856523,72.75597706,40.9563135,38.25011017,3026.116595,229.8700087,28582.29206,152.7816889,41.61912834,129.8749543,102.0270368,85.70643611
2_0447_S,0.0,34.15414673,16.53421044,1405.313056,349.4276302,2.267197212,90.96718023,137.5671504,987.0202355,286.5297005,57.21850922,60.59316862,49.87773955,2081.128844,397.765772,34525.6706,124.6135394,57.36230495,147.4590927,130.0638581,140.3610836
2_0459_S,0.0,34.20205347,32.00051806,1579.59274,278.2785851,3.67304477,85.26626163,116.7523546,1087.499564,401.6828374,59.81876151,52.41604324,516.1512078,2157.262947,367.1676493,27559.86169,105.4160668,53.03613882,124.3178614,156.1254311,98.81700123
2_0468_S,9.434670957,61.27800583,37.04284427,1230.662114,242.6897994,4.741837764,0.408478506,96.74659359,974.2132728,446.7162047,50.60815512,35.24823116,30.98110216,1654.832771,284.9850298,29462.11833,111.395951,32.48743641,123.1480519,44.0277015,82.91525705
2_0498_S,175.4445464,44.43814423,160.0098479,723.4855912,171.5795973,4.561541258,159.8748368,79.16132642,833.4185243,282.760834,62.99581033,34.66580978,47.20682206,599.8850773,207.4430861,17835.13489,116.3123695,28.08960778,97.13694034,74.51497509,75.8911134
2_0546_S,15.42004537,63.23464356,12.06930326,873.3852274,214.4877211,2.949115591,102.7253052,236.4619927,986.4389642,285.7551426,55.33290289,52.50461052,50.0900977,984.5511437,355.8623937,33812.52759,201.490249,101.971049,143.0703342,57.97091285,77.20822364
3_0001_S,8.635528857,78.74173043,84.8847078,1011.306246,230.1080423,4.289288605,98.65350331,116.1506622,976.3911226,339.5464521,56.79475912,40.1853945,44.02314943,2099.11458,343.1080803,30203.60359,150.5623311,155.8765014,127.3494023,108.1775976,86.54771951
3_0002_S,14.58423871,91.98066952,120.5269101,942.8257215,193.8971983,13.19642302,131.8600829,183.3728462,1281.944015,456.4643537,57.14048461,42.52482041,14.830302,1754.200642,374.7975027,27719.2701,116.0723765,609.5924019,126.1668857,54.80755992,70.52598308
3_0003_S,65.43117715,101.2134216,275.0541307,755.8519454,354.2520956,3.967828858,135.7711451,119.3201018,1064.433065,243.2156656,64.06628048,51.55374262,92.56802484,1177.513363,456.8842114,23853.00444,112.1958635,138.7399484,111.7727684,20.94659551,92.26540887
3_0004_S,0.081243068,22.94148686,44.73979479,1308.134695,228.5357921,5.55521732,88.84528721,150.338794,1040.741563,519.0640217,60.08460798,48.52835083,20.99964797,1292.006602,413.4010386,21548.92173,200.9545935,222.2119198,142.7277936,29.36110213,102.5652628
3_0008_S,0.0,51.15579373,40.34869685,1236.664373,250.8280727,4.724591623,87.99079474,116.4637433,1138.225214,377.9941259,71.34756225,41.15499377,39.35960389,1904.868317,273.7429147,27509.06353,174.7724683,220.4274133,127.2990636,72.91006097,82.83658013
3_0009_S,0.0,30.29841006,40.49271373,1381.255912,194.2127449,4.461226163,76.59990112,97.55449136,970.0473788,292.0123559,56.83027873,34.67088798,223.1403728,1190.397595,187.6395056,30113.23932,110.5761516,172.6108637,151.9406656,157.8342557,101.9263119
3_0012_S,0.0,32.14555679,74.0607349,954.3730322,279.9486682,6.16774865,103.8926463,149.3772162,979.9732295,458.7222627,52.59806676,42.66064458,19.71085313,1707.5156,338.6460622,25575.36757,125.337515,235.2890929,151.9902211,68.96253942,92.79071072
